Timestamps,Content
00:00:03.000 --> 00:00:25.000,好这样的观众朋友，大家晚上好这里是北京时间晚上八点1月17号那么今天我们是讲维尔主教的东众教会第11刻第11刻其实讲的是他第一部分第七章的内容我们今天主要讲的是这个希
00:00:25.000 --> 00:00:29.000,腊人和阿拉伯人，那么我有主教的这部著作。
00:00:29.000 --> 00:00:31.000,You're not gonna have anything else.
00:00:31.000 --> 00:00:41.000,在早期的教会的情况介绍的不是很多，基本上从公园一世纪到公元19世纪吧。
00:00:41.000 --> 00:00:46.000,差不多20世纪，它用了六张就讲完了，所以算是比较简略的。
00:00:46.000 --> 00:00:47.000,That's.
00:00:47.000 --> 00:00:52.000,主教的这本书在这个至少在西方世界呢，比较流行。
00:00:52.000 --> 00:00:54.000,所以呢？
00:00:54.000 --> 00:01:02.000,他大概的借鉴基本上代表了东众教对。就是。
00:01:02.000 --> 00:01:25.000,他对东任教的看法。还有他对这个向西方人解释东任教的事件哈，接下来第七章第八章和第九章它都是谈到20世纪的情况，那么今天我们要谈的是20世纪的希腊人和这个阿拉伯人好那我们就开始了，哈。
00:01:25.000 --> 00:01:29.000,好。我们来看。
00:01:29.000 --> 00:01:39.000,20世纪的希腊人和阿拉伯人教会是永恒在世俗中的鲜活形象。
00:01:39.000 --> 00:02:01.000,把我们来讲，今天的镇教会处于五种不同的形式之下，第一，生活在地中海地区东部的政教徒是由穆斯林主导的社会中的少数派四个古代中主教区朱氏坦丁堡亚历山大安提哈和耶路撒冷都在这个穆斯
00:02:01.000 --> 00:02:05.000,林的管辖之下。
00:02:05.000 --> 00:02:27.000,第二个情况呢？是塞浦路斯和希腊这两个证交会仍然坚持国家教会的拜张庭是联盟虽然这种形式有所解雇这个形式当然是减减弱的话基本上我们现在说现在的希腊跟败占群帝国是很不一样的希
00:02:27.000 --> 00:02:47.000,腊算是一个比较世俗的正传。所以我们前一段时间当然我这里简短评论下前段时间会听到希腊，政府就是通过了这个同性婚姻合法化的方案然后很多正教教徒觉得这个很荒唐我们要知道现在希腊政府跟以
00:02:47.000 --> 00:02:56.000,前的拜上田帝国是两个概念，以前拜战田帝国还是一个以中主制为主的国家而现在的希腊政府。呢？
00:02:56.000 --> 00:03:04.000,是民主政府。所以他们对于这个宗教的这个保护和管辖是咳嗽不一样的。
00:03:04.000 --> 00:03:19.000,我们之前谈过盖章亭帝国的石器。半年前的皇室政权对东正教是一个赞助人赞助赞助人的一个态度，所以呢？
00:03:19.000 --> 00:03:40.000,他会负责清除这个教会类的异端。帮助叫东壮教的这个统一保护东仲教的教义和领域的完整是充当保护人的一个作用但是对于现代的民主国家来说却不是这样子或者说现在的民主国家已经偏离了甚至已
00:03:40.000 --> 00:04:02.000,经偏离了。宗教改革时期约翰加尔文的这种国家的治理模式，那么政府对宗教是完全放任不管的就是无论你是异端也好是其他宗教也好都是不管的一个态度他就是。
00:04:02.000 --> 00:04:03.000,那我们甚至可以说，现在的民主国家已经不是基督教的一个赞助赞助人了。
00:04:03.000 --> 00:04:16.000,它。总体来说，现在民主国家的分歧是在摒弃这个基督教的传统和资源。
00:04:16.000 --> 00:04:41.000,那么这个希腊之所以这样做是效法了欧美的一些情况，所以就这样子大家不要觉得惊，奇正体是很不一样的，这里是关于这个希腊政府为什么赞成同性婚姻的关于一个简短的评论所以我我对这个这种国家
00:04:41.000 --> 00:05:02.000,教会的拜年模式的这种说法呢？我个人是还是持一个保留的意见，我并不觉得现在希腊或sbc的政府跟半量庭时期完全是一样的不是哈他情况是不一样的第三个是东欧的正教会直到近期还受共产
